Date,Open,Close,High,Low,Volume
2019-02-23,3962,4117.76,4162.02,3933.15,33657.942883
2019-02-24,4118,3743.56,4198,3712.66,62224.18689
2019-02-25,3743.56,3827.92,3872.66,3740,38102.966245
2019-02-26,3828.44,3809.23,3841.51,3777,28838.748036
2019-02-27,3809.31,3818.07,3838.85,3677.17,31500.995466
2019-02-28,3818.04,3813.69,3888,3763.87,32561.961044
2019-03-01,3814.26,3823,3857,3813.01,23174.57217
2019-03-02,3822.17,3819.93,3841.31,3772.25,19445.838355
2019-03-03,3819.97,3807.75,3835,3781.32,16718.16541
2019-03-04,3807.32,3715.3,3830,3670.69,34742.84166
2019-03-05,3716.1,3857.73,3877.1,3703.55,32962.536162
2019-03-06,3857.58,3861.84,3907,3813.09,24775.11883
2019-03-07,3861.84,3873.64,3905.4,3840.4,26455.257661
2019-03-08,3873.63,3864.89,3932,3800,34730.366592
2019-03-09,3864.88,3943.04,3971.75,3854.75,30979.747653
2019-03-10,3943.43,3916.82,3943.43,3881.69,23187.561412
2019-03-11,3915.99,3871.61,3936.98,3830,38066.885705
2019-03-12,3871.61,3882.73,3905.2,3826.06,26921.008622
2019-03-13,3882.69,3866,3893.56,3840,24461.008757
2019-03-14,3866,3877.12,3920,3810.43,27048.74853
2019-03-15,3877.12,3923.76,3939.22,3872.2,21740.061498
2019-03-16,3924.46,4005.98,4056.98,3921.98,28568.376124
2019-03-17,4005.98,3981.14,4012,3950.01,18814.255577
2019-03-18,3981.85,3987.81,4037,3953.33,22454.47801
2019-03-19,3987.83,4015.53,4031,3970,19893.741815
2019-03-20,4017.48,4043.04,4050,3980.5,23432.300255
2019-03-21,4043.04,3980.64,4069.32,3880.01,35997.682119
2019-03-22,3980.85,3986.93,4008,3968.25,20022.606318
2019-03-23,3987.89,4006.01,4018.83,3978.01,17302.604318
2019-03-24,4006.01,3992.18,4006.02,3950,17179.850648
2019-03-25,3991.35,3936.12,3999.3,3888.71,33192.890217
2019-03-26,3935.47,3948.55,3958.98,3894,29349.537627
2019-03-27,3948.77,4038.05,4048,3936.15,32364.555852
2019-03-28,4039.58,4027.81,4039.7,4002,20089.293875
2019-03-29,4028.22,4103.25,4123.71,4024.03,30084.217444
